REP,DESIGN,OFV,KA,CL,V,ADD,PROP,OM_KA,OM_CL,OM_V,TERM
45,rich,-473.009457027332,0.959636,4.26328,51.0456,0.0518842,0.121819,0.154333,0.0667396,0.0405857,SUCCESS
46,rich,-463.38568638215,1.31509,4.14499,52.704,0.0320547,0.119575,0.127773,0.10776,0.0597363,SUCCESS
47,rich,-409.645662864765,1.09199,3.88541,49.5384,0.0578299,0.127667,0.210025,0.104443,0.0524264,SUCCESS
48,rich,-486.621541262295,1.0235,4.62012,51.9131,0.0377393,0.123241,0.213481,0.104832,0.0302742,SUCCESS
49,rich,-479.263985820599,1.09198,4.15689,51.9179,0.0401474,0.115389,0.134508,0.102756,0.0452281,SUCCESS
50,rich,-479.707448586966,1.0837,3.72366,53.1888,0.0739861,0.10461,0.117129,0.0515136,0.0365766,SUCCESS
51,rich,-449.25074105035,1.07487,4.16095,51.5026,0.0400787,0.131092,0.124767,0.137479,0.0361965,SUCCESS
52,rich,-492.359847264168,1.19197,4.3755,48.8511,0.0604234,0.102461,0.133318,0.0545804,0.0324126,SUCCESS
53,rich,-509.221181125782,1.3659,4.05473,55.845,0.0379955,0.1104,0.201983,0.0645075,0.0293772,SUCCESS
54,rich,-465.089211410935,1.20737,4.03843,50.2593,0.0561237,0.110858,0.136156,0.100487,0.0282341,SUCCESS
55,rich,-468.245844904274,1.21837,4.07182,51.26,0.0220678,0.125516,0.0640056,0.0901051,0.0750305,SUCCESS
56,rich,-483.320525049185,1.2968,4.49564,47.8734,0.0531426,0.10609,0.0734987,0.0745498,0.0459973,SUCCESS
57,rich,-470.827919826231,1.16256,4.11825,48.7317,0.0648895,0.104904,0.112452,0.0797129,0.0295562,SUCCESS
58,rich,-483.703816620057,1.1719,4.05477,50.154,0.0543045,0.11029,0.113878,0.0722236,0.0258176,SUCCESS
59,rich,-412.572835142907,1.25472,4.01345,50.6181,0.0691461,0.114361,0.126865,0.134546,0.094103,SUCCESS
60,rich,-446.079844790632,1.1342,3.73385,48.6181,0.0305963,0.122392,0.156081,0.0758245,0.0409351,SUCCESS
61,rich,-462.829087927466,1.19894,4.20453,49.0675,0,0.12585,0.118109,0.107954,0.0528929,SUCCESS
62,rich,-449.141833640364,1.05206,3.72862,49.0224,0.0360797,0.121005,0.195596,0.0869224,0.0358663,SUCCESS
63,rich,-465.53782633995,1.19395,3.80502,52.0162,0.0501426,0.104048,0.0987814,0.139489,0.0702948,SUCCESS
64,rich,-469.819328288661,1.09614,4.09291,49.6231,0.0789337,0.0792725,0.204689,0.104802,0.0585705,SUCCESS
65,rich,-462.229764309862,1.251,4.09897,49.7703,0.0578752,0.108307,0.145971,0.0813723,0.0400413,SUCCESS
66,rich,-465.970402707464,1.04804,4.21505,52.6766,0.0574904,0.116822,0.195647,0.075366,0.0450863,SUCCESS
67,rich,-460.115841520931,1.01833,3.99966,47.6567,0.0272355,0.12886,0.143696,0.0859178,0.019371,SUCCESS
68,rich,-406.467866508472,1.16686,3.68485,48.1311,0.0751836,0.128357,0.122795,0.0589252,0.0344161,SUCCESS
69,rich,-484.482827841522,1.23401,4.06587,50.5133,0.0269876,0.120543,0.0937333,0.0645084,0.0361745,SUCCESS
70,rich,-437.286968366897,1.11212,3.74243,48.3823,0.0330334,0.126441,0.0994508,0.123599,0.0311735,SUCCESS
71,rich,-481.912227587468,1.15732,4.24281,51.5879,0.03999,0.119932,0.136379,0.0805876,0.031747,SUCCESS
72,rich,-499.152036088011,1.19428,4.22523,53.1778,0.076271,0.109214,0.0495929,0.0568921,0.0227067,SUCCESS
73,rich,-458.138511805627,1.31499,3.94185,54.663,0.0724949,0.108345,0.128584,0.0954705,0.0384168,SUCCESS
74,rich,-466.044160916283,1.18492,4.10063,50.3161,0.0552734,0.120651,0.121235,0.0759062,0.0201809,SUCCESS
75,rich,-447.738882939659,1.37578,4.09452,51.6163,0.0583975,0.118785,0.212839,0.0989869,0.0196202,SUCCESS
